S1,S2,S3,S4,S5,S6,S7,S8,Gesture_Class
-2.0,1.625,-1.25,-0.125,1.125,-2.25,-9.875,0.375,0
-2.375,0.625,-0.875,-2.0,1.5,1.5,-1.0,-4.75,2
1.375,-0.125,0.0,0.5,1.875,4.375,0.625,-3.25,2
2.375,0.875,-2.125,-1.375,2.375,4.875,-12.125,-1.25,0
1.0,-0.75,-0.5,1.25,1.75,-1.875,3.125,-0.375,0
-3.0,-1.875,-1.75,-0.5,4.875,8.875,-0.75,-1.875,1
2.125,-0.875,-1.5,-0.75,-3.125,0.5,-0.125,-1.625,1
-1.125,-1.75,-0.75,2.25,1.875,-4.625,-0.625,-3.25,3
-1.625,0.625,0.125,-1.375,0.125,-1.25,-1.5,2.375,0
1.375,-1.625,-0.625,0.375,1.5,-2.375,-11.0,-1.375,0
4.0,4.25,-1.125,0.0,6.875,6.625,1.5,1.625,2
0.625,0.625,0.25,0.5,0.875,-0.625,6.125,-1.25,0
-2.625,-2.25,-2.25,0.375,0.625,-0.5,8.125,1.0,0
-0.125,-0.125,-0.5,-0.5,-0.5,-2.375,-1.0,0.0,1
2.75,-1.875,-3.125,-0.75,-1.875,-3.625,-1.875,-4.0,2
-2.5,-1.75,-0.5,-2.25,-2.125,1.25,-3.125,-0.5,0
-1.25,-0.75,-0.375,-1.0,-0.375,-4.375,-2.375,-2.375,3
2.75,2.625,1.25,-1.125,-3.0,0.5,-8.625,-4.375,0
-3.375,0.75,0.375,-0.25,3.875,-0.125,-1.625,2.5,2
-4.25,-1.5,-1.125,-0.375,-1.125,2.5,-0.625,-1.625,1
-3.125,-1.375,1.375,3.625,-2.25,-14.5,-1.75,-1.125,3
0.5,2.875,-0.5,-0.75,-3.25,-2.875,-0.625,-1.875,2
-1.75,-1.25,-1.25,-1.25,3.25,-1.125,-2.5,-2.75,3
2.25,3.125,-1.375,-0.5,-0.75,4.875,-0.375,1.125,1
1.875,-0.125,0.0,0.75,-0.625,0.0,-2.0,-2.875,0
-2.25,-1.0,-0.75,-0.75,-1.5,-3.5,-9.25,-7.25,0
-1.125,-0.375,-0.375,0.25,0.125,-0.25,-0.5,-2.75,1
-4.875,-6.125,-0.25,-0.125,4.0,-11.5,-0.25,8.375,2
-6.75,-4.125,-1.25,-2.75,-2.25,-3.625,-1.5,-1.375,2
0.625,-2.125,-1.0,-1.625,2.25,1.5,-0.125,1.625,1
-0.625,-0.5,-1.0,-0.25,-0.625,-11.625,-1.5,1.25,3
2.25,5.0,-2.625,-0.875,-0.75,-3.25,-3.125,-2.0,2
1.25,5.375,0.625,1.0,-1.75,-1.75,0.0,-0.375,2
-1.125,-1.0,-1.25,-1.25,1.375,1.75,6.625,-0.875,0
3.0,-1.5,-0.75,0.5,1.125,2.5,3.0,-1.0,3
-1.875,-0.5,-0.375,-0.25,-1.0,-5.5,-0.875,-0.125,3
-0.875,-0.75,-0.875,-0.625,-2.375,1.125,-0.5,0.375,1
1.875,0.5,1.0,0.625,2.75,12.0,3.25,2.125,3
-4.25,-15.25,-1.375,-2.0,2.0,-2.375,-1.0,-2.625,2
-1.625,-1.0,-1.375,-1.875,-1.375,0.75,0.0,-1.125,3
-5.125,0.875,-1.25,-1.875,1.25,7.25,-1.875,-2.5,2
-2.875,-0.125,-0.375,-1.125,1.875,1.25,-1.75,-3.75,1
-5.125,-1.5,-0.25,0.25,1.375,-1.375,-0.5,-3.625,1
2.5,-1.625,-2.25,-2.0,4.5,5.375,-1.75,-2.5,1
0.875,2.25,-3.0,-2.5,3.125,-4.0,0.375,-2.0,2
-3.25,-2.375,-1.0,-1.375,-3.375,1.625,0.5,-2.5,2
1.125,-0.625,-0.5,-0.25,1.5,-3.75,-0.375,0.5,1
-4.0,0.125,-0.875,0.375,-1.25,-1.375,-0.5,-2.0,1
1.75,0.75,-0.125,0.875,-3.25,-0.25,-1.875,-1.875,1
-2.75,-0.25,0.0,-0.375,1.625,-4.125,-0.375,-1.125,1
1.5,-1.0,-1.0,-1.625,-3.125,-3.0,-1.125,-0.25,1
-3.0,-1.125,-0.875,-0.75,0.625,2.875,-0.875,2.0,1
-4.625,4.625,0.375,0.75,-5.375,-1.625,-0.125,-1.75,2
-1.375,-0.375,-0.5,-0.25,-1.5,5.875,-0.25,-2.125,3
1.625,-2.75,-0.625,-4.125,-1.375,-1.25,-3.875,-3.25,0
-0.875,-2.625,0.25,0.875,6.25,5.5,1.625,-1.375,2
1.125,0.25,-0.5,-0.625,-2.125,-1.75,-1.75,0.75,1
-2.25,-0.375,-1.0,0.125,1.25,-2.0,-1.25,0.125,3
