Model Eğitim Logları
==================================================

Veri Yükleme Tamamlandı
Toplam Veri Sayısı: 4237907
Veri Temizleme Atlandı
Filtreleme Atlandı
Dengeleme Atlandı
Özellik Çıkarımı Atlandı
Eğitim, Doğrulama ve Test Setleri Ayrıldı
Veri Normalizasyonu Tamamlandı
Epoch 139/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 140/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 141/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 142/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 143/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 144/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 145/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 146/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 147/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 148/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 149/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 150/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 151/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 152/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 153/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 154/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 155/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 156/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 157/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 158/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 159/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 160/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 161/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 162/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 163/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 164/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 165/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 166/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 167/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 168/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 169/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 170/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 171/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 172/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 173/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 174/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 175/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 176/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 177/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 178/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 179/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 180/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 181/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 182/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 183/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 184/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 185/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 186/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 187/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 188/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 189/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 190/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 191/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 192/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 193/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 194/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 195/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 196/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 197/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 198/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 199/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 200/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 201/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 202/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 203/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 204/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 205/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 206/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
