MAV,RMS,WL,ZC,Gesture_Class
5.390625,8.350711047569542,477.0,29,1
6.09375,9.724325169388361,487.0,33,1
7.375,10.767427733679014,602.0,28,1
7.015625,13.018616477951872,567.0,28,1
7.078125,12.642314859233652,548.0,31,1
6.671875,10.358420487699851,496.0,23,1
9.90625,15.827191791344413,932.0,27,2
9.1875,12.212954188074235,659.0,24,3
14.890625,23.319452716562626,1397.0,30,0
7.328125,12.114686335188377,607.0,29,2
5.953125,8.78119439484174,517.0,34,1
10.328125,20.053444217889353,857.0,19,3
6.21875,9.537753928467644,519.0,34,1
6.296875,8.40479773700712,560.0,24,1
7.640625,12.577882373436317,732.0,33,3
10.484375,20.244212135817982,871.0,28,1
8.0625,13.037206372532422,663.0,30,0
11.375,15.952076667318272,877.0,34,0
14.53125,21.46872725617427,1270.0,28,2
8.4375,14.436282416190119,634.0,30,3
11.609375,22.656745684232764,916.0,32,1
13.109375,24.158008506497385,1076.0,26,0
8.78125,14.255481401902918,779.0,28,1
10.9375,16.59348516737819,988.0,30,2
9.34375,15.731139501002462,780.0,28,0
9.5,13.782915148835531,839.0,34,2
9.078125,12.850705233565977,747.0,27,0
7.140625,12.959673028282774,558.0,27,1
7.03125,11.236102527122116,558.0,22,3
9.921875,16.716851527724952,872.0,26,2
12.015625,22.26719840931948,1159.0,30,0
11.265625,16.872221993560895,871.0,29,2
13.6875,21.577621509332303,1097.0,28,0
10.28125,15.105876340020794,866.0,22,1
7.90625,14.564511663629508,672.0,28,0
12.515625,21.245220050637272,1009.0,30,1
12.859375,18.336694767596477,1119.0,28,0
7.15625,11.463256518110375,572.0,22,1
7.0,11.716708155450489,548.0,26,0
9.34375,19.637336886655483,774.0,25,3
19.359375,32.72542016536992,1446.0,17,0
7.3125,11.272200317595496,516.0,26,3
6.90625,13.252358280698571,591.0,25,3
9.34375,14.245613359908376,809.0,28,2
12.90625,18.944821192083076,1129.0,32,0
8.4375,11.764618565852443,626.0,22,2
11.40625,17.120893668263932,936.0,28,2
24.890625,36.77656352896502,1928.0,27,0
6.78125,9.521357571271022,451.0,20,3
11.15625,14.581666571417685,1001.0,30,2
8.234375,13.098783340448074,692.0,24,1
7.90625,10.485108487755385,654.0,32,2
8.0625,12.695963925594622,576.0,20,2
7.703125,12.200794031537455,590.0,25,1
7.4375,9.65498575866376,473.0,20,2
8.9375,14.065694081701052,784.0,24,1
7.28125,11.532562594670797,562.0,25,3
7.296875,12.4191132936293,548.0,25,1
10.296875,15.56789565098636,926.0,25,2
8.71875,15.190457530963313,781.0,30,3
12.515625,19.311994329949457,1199.0,28,3
7.890625,13.275329562764158,603.0,24,1
15.03125,24.190003100454536,1323.0,34,0
6.703125,11.034746258976687,544.0,19,3
4.515625,7.1556358906808555,386.0,30,2
19.296875,24.41599117381885,1723.0,36,0
14.71875,22.85757533073007,1418.0,22,2
10.5625,18.453488830028864,805.0,23,3
13.40625,19.403607911932255,1254.0,30,3
11.484375,21.372806905037063,870.0,16,3
6.0625,9.537753928467644,528.0,41,1
18.15625,27.73591985134079,1381.0,21,2
8.390625,12.356046090881986,679.0,31,0
9.828125,13.795945962492025,754.0,24,2
7.078125,11.089832054634552,515.0,22,3
16.0,22.36626924634504,1194.0,22,2
14.25,20.04915833644894,1231.0,27,2
10.796875,17.099433470147485,787.0,23,3
9.796875,19.09556558471102,782.0,27,1
14.46875,19.666754943304703,1233.0,33,0
6.75,10.507437841833754,515.0,23,1
5.515625,9.5565749617737,494.0,34,3
10.203125,16.5496412347821,805.0,21,0
9.046875,13.828751751333161,799.0,24,2
12.625,18.350749303502567,1097.0,28,3
8.875,12.159101529307172,919.0,34,2
8.890625,12.123711271718738,715.0,31,2
8.828125,14.705972426194739,640.0,27,1
6.859375,11.431179947844404,592.0,30,1
5.6875,8.439120214809124,560.0,29,1
13.359375,23.944271235516858,1155.0,27,2
6.53125,10.431323022512533,490.0,26,1
8.65625,11.799099541914204,759.0,36,2
5.859375,9.707439157676962,541.0,33,1
6.296875,9.762011831584717,485.0,30,1
12.8125,17.01837242511751,1072.0,32,3
5.359375,10.453019898574766,433.0,25,2
13.875,21.266170318136737,1059.0,24,0
11.96875,17.567726090760864,1111.0,31,2
12.4375,20.56468453441482,1123.0,25,0
8.390625,11.698691166109139,776.0,35,2
5.234375,8.610495049647263,461.0,30,1
8.796875,14.984888221137988,773.0,37,1
8.296875,12.650963402049664,597.0,16,1
6.515625,12.326926827072512,504.0,27,3
11.703125,19.16254484665333,932.0,26,3
11.828125,17.694013818238076,1096.0,28,2
7.5,11.631046814453118,592.0,23,1
8.296875,11.75066487480602,652.0,28,2
7.203125,11.948457013355323,541.0,30,1
12.6875,17.905131945897523,1179.0,31,2
8.0625,14.438446938642674,712.0,31,0
5.421875,9.220391802955014,505.0,35,1
8.953125,16.385492821395395,837.0,31,0
6.828125,11.368129793418088,624.0,32,1
8.296875,13.595150789895639,654.0,23,3
7.9375,11.052431859097798,678.0,30,0
10.6875,17.885923235885812,1064.0,30,0
14.703125,21.999644883497552,1131.0,29,3
6.96875,10.390801220310204,659.0,31,1
7.21875,9.41740410091868,594.0,27,0
8.5,14.027874037073472,751.0,33,1
7.734375,12.499374984374219,622.0,35,1
7.1875,10.797858583997106,630.0,24,1
7.09375,12.023414656411049,599.0,31,1
16.09375,22.52637343204627,1248.0,25,2
7.40625,11.971319893812879,721.0,38,3
10.140625,17.518294009406283,807.0,23,3
7.8125,13.317047345414073,663.0,26,3
6.265625,10.005467255455889,530.0,32,3
11.46875,17.942616865998115,1000.0,25,0
12.640625,20.751882444732573,1122.0,31,0
7.296875,10.376505914805811,587.0,28,1
10.171875,15.169356446467992,848.0,27,1
7.9375,14.771171246722448,723.0,25,1
8.15625,12.383204351055506,712.0,26,1
16.375,26.22498808388671,1388.0,24,0
7.78125,10.784827305061496,552.0,25,3
9.171875,15.259730502207436,726.0,30,2
5.765625,9.479418494823403,452.0,27,1
9.453125,15.296547813150521,722.0,23,3
17.25,24.420790323001423,1641.0,34,0
9.328125,14.975500826349682,725.0,31,1
14.171875,21.48364203295149,1155.0,24,0
12.359375,18.045515370861537,1030.0,31,2
6.34375,9.310612224768036,489.0,21,1
6.734375,10.586695660119828,578.0,31,3
7.59375,12.93010054098575,578.0,27,1
7.015625,9.203430067099983,501.0,24,2
9.5,14.585952145814822,817.0,29,1
12.796875,20.053444217889353,1075.0,29,0
8.625,14.43303502386106,670.0,30,1
6.703125,11.410658394676444,447.0,16,3
11.96875,17.583728273605686,927.0,23,2
11.890625,16.495738085942076,1030.0,29,2
7.4375,11.468707424989095,611.0,26,1
11.0625,19.491985532520797,887.0,26,3
14.671875,23.02817567676606,1096.0,21,3
7.59375,12.869537676233751,650.0,29,1
5.28125,8.522030274529655,500.0,35,1
7.125,11.118677978968543,550.0,24,1
9.578125,12.900460263106893,858.0,29,2
12.125,18.011281187078282,943.0,19,2
17.0,27.082628195948782,1564.0,29,0
7.25,10.760169608328672,496.0,21,1
5.09375,7.522881761665539,398.0,21,3
16.34375,29.493643382939315,1447.0,24,0
10.75,17.74471752381536,829.0,23,0
11.296875,20.14440058676356,899.0,20,3
6.71875,11.769929906333342,556.0,32,1
14.734375,20.95344542074167,1201.0,27,3
7.28125,11.08208012965075,731.0,36,1
9.15625,13.806701271484076,733.0,28,2
9.84375,15.361274361198031,796.0,30,3
8.4375,15.841993245800857,692.0,33,1
8.5625,12.881673027988251,779.0,27,1
12.65625,19.08451597499921,1130.0,32,0
8.359375,15.12396690686673,747.0,27,1
10.765625,17.306519725236498,946.0,30,2
11.5,16.41740692070462,942.0,31,0
9.203125,13.65135066577663,742.0,31,3
3.078125,4.8909993866284625,225.0,34,3
7.578125,11.044653684022872,596.0,25,2
24.734375,35.23559102668777,1971.0,24,0
6.375,9.711462299777516,530.0,32,1
10.359375,21.07019518182022,861.0,25,3
10.890625,18.815302947335184,862.0,25,1
5.4375,9.170264445478113,434.0,24,1
7.296875,11.3033457436283,622.0,31,1
6.3125,9.767612297793152,519.0,29,1
7.125,12.848881274258861,577.0,24,3
12.484375,16.218719893999033,944.0,26,0
6.96875,10.862780491200215,530.0,18,1
7.96875,13.082669834555942,629.0,23,3
17.34375,28.31905277370696,1368.0,26,0
10.640625,14.849768516714326,735.0,24,3
13.921875,27.3333015751848,1210.0,25,0
19.4375,30.56652580847225,1507.0,25,3
11.09375,20.216793761623034,815.0,19,1
5.4375,7.935285124051939,478.0,33,0
6.03125,8.097067370350823,511.0,32,2
11.46875,19.06239754070825,907.0,32,1
10.765625,16.035604915312675,914.0,34,2
12.203125,16.245672500699992,762.0,20,2
9.890625,17.710784144130944,770.0,22,0
6.5625,10.535653752852738,592.0,32,1
15.453125,24.572278587872148,1492.0,26,3
10.046875,16.83328176559758,841.0,25,1
13.734375,19.447445204962012,999.0,20,2
23.96875,38.62358411644367,1942.0,20,0
10.71875,15.192514604238497,944.0,27,2
12.515625,18.39114936593143,929.0,18,2
9.65625,13.315873985585775,848.0,29,0
7.46875,11.294356998076518,565.0,21,2
16.828125,23.326152168756852,1482.0,24,3
7.078125,10.560095880246543,531.0,25,0
8.875,11.928170438084795,657.0,26,2
14.71875,24.34902462112189,1411.0,28,0
8.859375,15.439903659025855,769.0,18,3
5.859375,9.9365172470036,482.0,25,1
8.984375,15.160083278135382,738.0,27,1
14.046875,21.193675353746457,1259.0,36,0
13.640625,18.894857104513918,1069.0,24,2
7.4375,11.983060961206865,638.0,31,1
28.375,40.72545272922083,2264.0,28,0
7.671875,11.07855473426024,749.0,34,2
8.125,15.328690420254432,578.0,25,3
12.546875,19.472336146441187,1005.0,24,0
9.0625,14.475194299214087,817.0,33,2
10.75,17.355654698109202,976.0,31,0
7.375,13.547370593587525,609.0,29,3
17.890625,25.286174582170393,1394.0,20,3
8.171875,12.053915339009148,721.0,28,2
10.734375,16.78866805318397,952.0,28,2
9.65625,13.48494530949236,770.0,27,2
7.734375,10.591122461760133,593.0,24,2
10.015625,14.010598666723704,746.0,22,2
7.75,11.74068779927309,633.0,30,3
10.765625,17.12591238445415,780.0,25,2
8.625,14.887074930959406,816.0,24,3
12.53125,16.413599544280345,874.0,18,3
8.265625,15.054588171052703,692.0,25,1
10.796875,17.81019721957059,922.0,34,2
7.125,12.96148139681572,568.0,24,3
12.296875,19.167436578739473,1079.0,34,0
8.28125,13.824796562698491,697.0,25,2
8.328125,14.449805362010936,638.0,25,3
9.125,13.057564857200596,647.0,26,3
5.046875,7.6515929714014455,433.0,30,2
6.75,11.390785749894517,597.0,35,3
12.6875,17.77287258717622,1066.0,24,3
21.0625,28.602884469927154,1718.0,28,0
9.03125,14.707566080082728,694.0,21,3
6.5,11.281899219546325,532.0,26,3
16.5,21.39071060063223,1214.0,28,0
12.375,21.80524592844575,846.0,23,0
6.578125,11.074322778391462,505.0,24,1
12.4375,22.879439459916846,995.0,27,0
8.796875,13.610083577994663,644.0,21,3
12.453125,17.327272578221883,1053.0,31,2
8.125,13.811227316933133,674.0,32,3
24.90625,39.84893348635569,1558.0,20,0
16.96875,26.78210689994348,1528.0,31,0
5.25,7.601397897755386,468.0,34,1
5.6875,9.12071817347735,438.0,33,1
6.25,9.58025312817986,520.0,26,1
8.234375,14.231896395069773,602.0,28,3
6.03125,9.204278896252546,511.0,26,1
11.84375,18.131464364468744,968.0,21,3
7.921875,12.715025560336086,614.0,27,1
9.875,13.110110602126895,785.0,26,2
19.671875,28.333670341133004,1502.0,27,0
7.109375,11.055965584244554,625.0,30,1
13.109375,17.199654793047447,1112.0,27,2
20.578125,29.092793351618884,1408.0,19,0
